No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,3,470nF,"C1,C2,C5",C0603,,C0603C474K9RAC7867,KEMET(基美),C3872363,LCSC
2,1,100nF,C4,C0402,,AC0402KRX7R9BB104,YAGEO(国巨),C2888326,LCSC
3,3,22uF,"C8,C11,C12",C1210,22uF,CL32B226KAJNNNE,SAMSUNG(三星),C309062,LCSC
4,1,75pF,C13,C0402,75pF,CC0402FRNPO9BN750,YAGEO(国巨),C541439,LCSC
5,2,1uF,"C21,C22",C0402,1uF,C0402X5R105K160NT,SANYEAR(叁叶源),C466611,LCSC
6,2,220uF,"C27,C28",CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD,220uF,MA25V220M6X8,JIERR(捷而瑞),C46550464,LCSC
7,3,100nF,"C31,C33,C35",C0402,100nF,CL05B104KB54PNC,SAMSUNG(三星),C307331,LCSC
8,3,4.7uF,"C32,C34,C36",C0805,4.7uF,GRM21BZ71H475KE15L,muRata(村田),C437557,LCSC
9,3,1nF,"C37,C38,C39",C0402,1nF,0402B102K500NT,FH(风华),C1523,LCSC
10,1,100nF,C40,C0402,100nF,CC0402X7R50V104KN,TORCH(火炬),C53084447,LCSC
11,1,100nF,C41,C0402,100nF,¨,TORCH(火炬),C53084447,LCSC
12,3,3.3uF,"C42,C43,C44",C0603,3.3uF,CGA0603X5R335M250JT,HRE(芯声),C51704734,LCSC
13,4,100nF,"C45,C46,C47,C50",C0201,100nF,C0201D5R104K160NTA,EYANG(宇阳科技),C778344,LCSC
14,1,1uF,C49,C0201,1uF,HGC0201R5105M160NTCJ,Chinocera(华瓷),C33545999,LCSC
15,1,XT30UPB-M,CN1,CONN-TH_XT30UPB-M,,XT30UPB-M,AMASS(艾迈斯),C428721,LCSC
16,1,1N5817WS,D1,SOD-323_L1.8-W1.3-LS2.5-RD,,1N5817WS,HXY MOSFET(华轩阳电子),C41424805,LCSC
17,4,Test-Point,"GND,NRST,SWCLK,SWDIO",Test-Point-0.5mm,,,,,
18,1,5.6uH,L2,IND-SMD_L7.0-W6.6_FXL0630,,FXL0630-5R6-M,cjiang(长江微电),C475914,LCSC
19,1,ME6211C33M5G-N,LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,,ME6211C33M5G-N,MICRONE(南京微盟),C82942,LCSC
20,1,SZYY0603G,LED1,LED0603-R-RD_GREEN,,SZYY0603G,yongyu(永裕光电),C434420,LCSC
21,1,SZYY0603B,LED2,LED0603-R-RD_BLUE,,SZYY0603B,yongyu(永裕光电),C434421,LCSC
22,1,SM05B-SRSS-G-TB(LF)(SN),P1,CONN-SMD_SM05B-SRSS-G-TB-LF-SN,,SM05B-SRSS-G-TB(LF)(SN),JST,C265419,LCSC
23,6,BSZ034N04LS,"Q25,Q26,Q27,Q28,Q29,Q30",PG-TSDSON-8_L3.3-W3.3-P0.65-BL-1,,BSZ034N04LS,Infineon(英飞凌),C534652,LCSC
24,1,49.9Ω,R22,R0402,49.9Ω,RC0402FR-0749R9L,YAGEO(国巨),C87044,LCSC
25,9,100kΩ,"R23,R55,R56,R57,R58,R59,R60,R61,R62",R0402,100kΩ,0402WGF1003TCE,UNI-ROYAL(厚声),C25741,LCSC
26,1,13.3kΩ,R24,R0402,13.3kΩ,0402WGF1332TCE,UNI-ROYAL(厚声),C122547,LCSC
27,3,220Ω,"R30,R32,R48",R0402,220Ω,0402WGF2200TCE,UNI-ROYAL(厚声),C25091,LCSC
28,3,1.6kΩ,"R45,R46,R47",R0402,1.6kΩ,0402WGF1601TCE,UNI-ROYAL(厚声),C4908,LCSC
29,6,15Ω,"R49,R50,R51,R52,R53,R54",R0402,15Ω,CQ02WGJ0150TCE,UNI-ROYAL(厚声),C2770753,LCSC
30,1,NSG2065Q,U4,QFN-24_L4.0-W4.0-P0.50-TL-EP2.8,,NSG2065Q,WXNSIC(国硅集成),C41414478,LCSC
31,1,AT32F421G8U7,U5,QFN-28_L4.0-W4.0-P0.40-TL-EP2.4,,AT32F421G8U7,ARTERY(雅特力),C2765098,LCSC
32,1,TPS54302DDCT,U17,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,,TPS54302DDCT,TI(德州仪器),C129370,LCSC
33,1,LM2665M6X/NOPB,U18,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,,LM2665M6X/NOPB,TI(德州仪器),C201725,LCSC
NON ESC components,,,,,,,,,
No.,Description,Qty,,,,,,,
1,ST-Link v2,1,,,,,,,
2,PLA plastic ,N/A,,,,,,,
3,14-18AWG motor wire,1,,,,,,,
4,3 wire dupont cable,1,,,,,,,
5,Soldering iron,1,,,,,,,
6,M2x10 button head,4,,,,,,,
